src_name,avgParticlesPerCell,cutoff,domainSizeX,domainSizeY,domainSizeZ,estimatedNumNeighborInteractions,maxParticlesPerCell,minParticlesPerCell,numCells,numEmptyCells,numHaloParticles,numParticles,particleSize,particleSizeNeededByFunctor,particlesPerBlurredCellStdDev,particlesPerCellStdDev,rebuildFrequency,skin,threadCount,Ranking,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3
./data/1714078414935441027,2.586672,3.0,155.0,55.0,55.0,717343.0,23.0,0.0,18772.0,8383.0,0.0,48557.0,128.0,72.0,0.186435,0.009638,10.0,1.0,12.0,0.4723665527410147,LinkedCells,1.0,lc_c08,none,SoA,enabled
./data/1714081779129814005,0.001148,3.0,63.0,415.0,495.0,1131.0,2.0,0.0,481635.0,481086.0,0.0,553.0,128.0,72.0,0.297075,0.042807,10.0,1.0,12.0,1.0,VerletClusterLists,1.0,vcl_cluster_iteration,none,AoS,disabled
./data/1714081779129814005,0.001148,3.0,63.0,415.0,495.0,1131.0,2.0,0.0,481635.0,481086.0,0.0,553.0,128.0,72.0,0.297075,0.042807,10.0,1.0,12.0,0.7788007830714049,VerletClusterLists,1.0,vcl_c01_balanced,none,SoA,disabled
./data/1714081779129814005,0.001148,3.0,63.0,415.0,495.0,1131.0,2.0,0.0,481635.0,481086.0,0.0,553.0,128.0,72.0,0.297075,0.042807,10.0,1.0,12.0,0.6065306597126334,VerletClusterLists,1.0,vcl_c06,none,SoA,enabled
./data/1714081779129814005,0.001148,3.0,63.0,415.0,495.0,1131.0,2.0,0.0,481635.0,481086.0,0.0,553.0,128.0,72.0,0.297075,0.042807,10.0,1.0,12.0,0.4723665527410147,VerletClusterLists,1.0,vcl_cluster_iteration,none,SoA,disabled
./data/1714081630263844407,7.6e-05,3.0,63.0,55.0,495.0,10.0,1.0,0.0,65835.0,65830.0,0.0,5.0,128.0,72.0,0.403687,0.447197,10.0,1.0,12.0,1.0,VerletClusterLists,1.0,vcl_cluster_iteration,none,SoA,disabled
./data/1714081630263844407,7.6e-05,3.0,63.0,55.0,495.0,10.0,1.0,0.0,65835.0,65830.0,0.0,5.0,128.0,72.0,0.403687,0.447197,10.0,1.0,12.0,0.7788007830714049,VerletClusterLists,1.0,vcl_c06,none,SoA,disabled
./data/1714081630263844407,7.6e-05,3.0,63.0,55.0,495.0,10.0,1.0,0.0,65835.0,65830.0,0.0,5.0,128.0,72.0,0.403687,0.447197,10.0,1.0,12.0,0.6065306597126334,VerletClusterLists,1.0,vcl_cluster_iteration,none,AoS,disabled
./data/1714081630263844407,7.6e-05,3.0,63.0,55.0,495.0,10.0,1.0,0.0,65835.0,65830.0,0.0,5.0,128.0,72.0,0.403687,0.447197,10.0,1.0,12.0,0.4723665527410147,VerletClusterLists,1.0,vcl_c01_balanced,none,AoS,disabled
./data/1714080062451536579,2.826994,3.0,95.0,95.0,55.0,594631.0,20.0,0.0,19456.0,4185.0,0.0,55002.0,128.0,72.0,0.117398,0.006573,10.0,1.0,12.0,1.0,VerletListsCells,1.0,vlc_c18,none,AoS,enabled
./data/1714080062451536579,2.826994,3.0,95.0,95.0,55.0,594631.0,20.0,0.0,19456.0,4185.0,0.0,55002.0,128.0,72.0,0.117398,0.006573,10.0,1.0,12.0,0.7788007830714049,VerletListsCells,1.0,vlc_c01,none,AoS,disabled
./data/1714080062451536579,2.826994,3.0,95.0,95.0,55.0,594631.0,20.0,0.0,19456.0,4185.0,0.0,55002.0,128.0,72.0,0.117398,0.006573,10.0,1.0,12.0,0.6065306597126334,VerletListsCells,1.0,vlc_c18,none,AoS,disabled
./data/1714080062451536579,2.826994,3.0,95.0,95.0,55.0,594631.0,20.0,0.0,19456.0,4185.0,0.0,55002.0,128.0,72.0,0.117398,0.006573,10.0,1.0,12.0,0.4723665527410147,LinkedCells,1.0,lc_c04,none,SoA,enabled
./data/1714080574266443488,0.464018,3.0,195.0,195.0,195.0,1045428.0,20.0,0.0,274625.0,222620.0,0.0,127431.0,128.0,72.0,0.364347,0.005236,10.0,1.0,12.0,1.0,VerletListsCells,1.0,vlc_c18,none,AoS,enabled
./data/1714080574266443488,0.464018,3.0,195.0,195.0,195.0,1045428.0,20.0,0.0,274625.0,222620.0,0.0,127431.0,128.0,72.0,0.364347,0.005236,10.0,1.0,12.0,0.7788007830714049,VerletListsCells,1.0,vlc_c01,none,AoS,disabled
